id1,id2,voice_out,voice_out_dur,voice_in,voice_in_dur,sme_out,sme_in,weekd_day_off,weekd_day_on,weekd_nig_off,weekd_nig_on,weeke_day_off,weeke_day_on,weeke_nig_off,weeke_nig_on,class
2,6,77,3811,73,3957,8,0,809,7620,398,969,489,150,598,354,1
2,10,22,1691,27,3905,6,2,174,293,421,209,69,20,140,20,1
2,11,1,82,4,122,0,0,0,134,1,21,1,109,31,0,1
2,20,68,2164,48,1650,16,11,599,2216,415,402,441,631,608,171,1
4,8,58,6853,51,8327,12,8,89,36,111,3,28,22,11,3,1
4,13,91,16290,69,6060,25,14,128,88,133,14,14,36,3,1,1
4,19,26,3169,23,1239,26,25,31,21,21,0,1,11,10,8,1
4,79,18,1303,8,817,4,0,124,30,202,11,71,2,64,0,1
8,4,51,8327,58,6853,8,12,89,36,111,3,28,22,11,3,1
8,13,222,12041,189,8119,0,3,379,200,153,35,208,118,115,72,1
8,23,22,1556,0,0,0,0,66,59,16,0,17,42,53,37,1
10,2,27,3905,22,1691,2,6,174,293,421,209,69,20,140,20,1
10,8,0,0,0,0,0,0,49,41,0,0,0,0,0,0,1
10,79,0,0,0,0,0,0,26,37,0,0,0,0,0,0,1
13,4,69,6060,91,16290,14,25,128,88,133,14,14,36,3,1,1
13,8,189,8119,222,12041,3,0,379,200,153,35,208,118,115,72,1
13,23,11,1334,4,175,0,0,640,643,20,0,9,17,4,53,1
19,31,4,193,11,773,1,1,346,1117,34,62,2,62,4,39,1
20,2,48,1650,68,2164,11,16,599,2216,415,402,441,631,608,171,1
20,3,24,1464,41,1285,0,0,137,347,84,42,59,20,2,1,1
20,6,171,9031,171,16763,16,14,841,842,485,177,130,111,217,70,1
20,50,5,609,6,541,0,0,515,127,0,1,0,0,0,0,1
21,53,17,849,9,784,0,0,48,36,5,1,3,1,45,0,1
21,84,0,0,0,0,0,0,208,44,13,3,0,0,48,0,1
23,13,4,175,11,1334,0,0,640,643,20,0,9,17,4,53,1
26,56,2,2903,3,398,0,0,18,0,0,0,9,0,0,0,1
31,19,11,773,4,193,1,1,346,1117,34,62,2,62,4,39,1
32,57,2,10,1,6,0,0,960,2020,134,306,51,48,43,105,1
53,21,9,784,17,849,0,0,48,36,5,1,3,1,45,0,1
53,84,14,2284,61,4376,1,0,36,0,33,1,4,0,71,0,1
56,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,26,3,398,2,2903,0,0,18,0,0,0,9,0,0,0,1
57,15,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1
57,32,1,6,2,10,0,0,960,2020,134,306,51,48,43,105,1
64,49,1,33,2,126,0,0,409,719,126,210,227,118,154,104,1
79,4,8,817,18,1303,0,4,124,30,202,11,71,2,64,0,1
84,3,1,80,0,0,0,0,30,0,1,0,0,0,0,0,1
84,21,0,0,0,0,0,0,208,44,13,3,0,0,48,0,1
84,53,61,4376,14,2284,0,1,36,0,33,1,4,0,71,0,1
89,78,8,163,0,0,1,0,0,2,0,0,0,0,12,0,1
89,79,2,306,0,0,0,0,2,16,13,7,0,0,0,0,1
90,91,4,206,0,0,0,0,352,106,23,0,16,15,1,2,1
2,3,0,0,0,0,0,0,154,1671,62,114,47,146,1,0,0
2,4,0,0,0,0,0,0,6,152,17,9,0,0,0,0,0
2,8,0,0,0,0,0,0,228,6138,17,420,2,822,0,0,0
2,13,0,0,0,0,0,0,13,98,7,0,0,0,0,0,0
2,15,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0
2,19,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0
2,21,0,0,0,0,0,0,629,3580,14,259,60,160,0,24,0
2,23,0,0,0,0,0,0,51,352,0,16,0,0,0,0,0
2,25,0,0,0,0,0,0,6,53,0,0,0,0,0,0,0
2,26,0,0,1,0,0,0,279,1004,0,2,0,144,0,0,0
2,31,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0
2,32,0,0,0,0,0,0,7,45,1,5,1,1,0,1,0
2,49,0,0,0,0,0,0,0,27,0,2,0,0,0,0,0
2,50,1,0,1,13,0,0,585,279,0,2,0,0,0,0,0
2,53,0,0,0,0,0,0,12,4,0,1,0,0,0,0,0
